26-04-11 23:19:50.535 :   task: train
  gpu_ids: [0]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best1.pth
  ]
  batch_size: 4
  nc: [16, 1]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  lambda_g: 0.1
  lambda_f: 0.05
  deep_w: 0.2
  train:[
    sigma: [15, 50]
    dataroot_H: ./dataset/gray_train_all
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [15, 25, 50]
    dataroot_H: ./dataset/gray_test
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-04-11 23:19:50.544 : 训练集大小: 1120
26-04-11 23:19:50.544 : 验证集数量: 720 (每个 sigma 一个 Dataset)
26-04-11 23:19:51.751 : Number of parameter: 3.26M
26-04-11 23:19:51.751 : start training...
26-04-11 23:53:49.954 :   sigma=15: loss=0.0217, psnr=37.6158, ssim=0.8789, attempted=1, valid=1
26-04-11 23:53:49.954 :   sigma=25: loss=0.0251, psnr=36.5603, ssim=0.8513, attempted=1, valid=1
26-04-11 23:53:49.954 :   sigma=50: loss=0.0338, psnr=35.0893, ssim=0.8157, attempted=1, valid=1
26-04-11 23:53:49.954 :   sigma=15: loss=0.0418, psnr=31.4812, ssim=0.9091, attempted=1, valid=1
26-04-11 23:53:49.955 :   sigma=25: loss=0.0513, psnr=29.4119, ssim=0.8631, attempted=1, valid=1
26-04-11 23:53:49.955 :   sigma=50: loss=0.0698, psnr=26.8181, ssim=0.7778, attempted=1, valid=1
26-04-11 23:53:49.955 :   sigma=15: loss=0.0333, psnr=33.6504, ssim=0.8862, attempted=1, valid=1
26-04-11 23:53:49.955 :   sigma=25: loss=0.0401, psnr=31.8125, ssim=0.8261, attempted=1, valid=1
26-04-11 23:53:49.955 :   sigma=50: loss=0.0550, psnr=29.3162, ssim=0.6703, attempted=1, valid=1
26-04-11 23:53:49.955 :   sigma=15: loss=0.0423, psnr=31.2569, ssim=0.8258, attempted=1, valid=1
26-04-11 23:53:49.955 :   sigma=25: loss=0.0510, psnr=29.3913, ssim=0.7602, attempted=1, valid=1
26-04-11 23:53:49.955 :   sigma=50: loss=0.0680, psnr=26.8501, ssim=0.6600, attempted=1, valid=1
26-04-11 23:53:49.956 :   sigma=15: loss=0.0616, psnr=28.1548, ssim=0.8984, attempted=1, valid=1
26-04-11 23:53:49.956 :   sigma=25: loss=0.0682, psnr=26.8821, ssim=0.8623, attempted=1, valid=1
