26-05-01 23:32:45.475 :   task: train
  gpu_ids: [0]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best1.pth
  ]
  batch_size: 4
  nc: [16, 1]
  patch_size: [128, 128]
  stride_size: [16, 16]
  d_size: 3
  max_epoch: 1000
  stage: 1
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  m_channels: 8
  n_atoms: 16
  topk_atoms: 2
  lambda_sparse: 0.01
  lambda_gate: 0.001
  lambda_orth: 0.001
  eval_num: 10
  sigma: 0.0
  train:[
    sigma: [0]
    dataroot_H: ./dataset/gray_train_all
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [0]
    dataroot_H: ./dataset/gray_valid_all
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-05-01 23:32:45.482 : 训练集大小: 1120
26-05-01 23:32:45.482 : 验证集数量: 240
26-05-01 23:32:46.469 : Number of parameter: 0.88M
26-05-01 23:32:46.470 : start training...
26-05-02 00:31:56.141 : epoch:[32/1000], loss:0.0044, rec:0.0035, sparse:0.0857, gate:0.0078, orth:0.0056
26-05-02 00:33:16.247 : epoch:[33/1000], loss:0.0044, rec:0.0035, sparse:0.0856, gate:0.0069, orth:0.0053
26-05-02 00:34:36.035 : epoch:[34/1000], loss:0.0043, rec:0.0035, sparse:0.0853, gate:0.0060, orth:0.0050
26-05-02 00:35:55.861 : epoch:[35/1000], loss:0.0042, rec:0.0033, sparse:0.0852, gate:0.0052, orth:0.0046
26-05-02 00:37:15.779 : epoch:[36/1000], loss:0.0041, rec:0.0033, sparse:0.0847, gate:0.0045, orth:0.0043
26-05-02 00:38:35.774 : epoch:[37/1000], loss:0.0040, rec:0.0031, sparse:0.0847, gate:0.0039, orth:0.0040
26-05-02 00:39:55.809 : epoch:[38/1000], loss:0.0039, rec:0.0031, sparse:0.0849, gate:0.0035, orth:0.0038
26-05-02 00:41:15.868 : epoch:[39/1000], loss:0.0039, rec:0.0030, sparse:0.0846, gate:0.0031, orth:0.0035
26-05-02 00:42:35.999 : epoch:[40/1000], loss:0.0039, rec:0.0031, sparse:0.0845, gate:0.0027, orth:0.0033
26-05-02 00:48:01.319 : [epoch 40] val_loss: 0.0039, PSNR: 46.4480, SSIM: 0.9967, Best PSNR: 46.4480 @ epoch 40
26-05-02 00:49:21.649 : epoch:[41/1000], loss:0.0037, rec:0.0029, sparse:0.0844, gate:0.0024, orth:0.0030
26-05-02 00:50:41.894 : epoch:[42/1000], loss:0.0037, rec:0.0029, sparse:0.0843, gate:0.0021, orth:0.0028
26-05-02 00:52:01.983 : epoch:[43/1000], loss:0.0036, rec:0.0028, sparse:0.0843, gate:0.0018, orth:0.0026
26-05-02 00:53:22.232 : epoch:[44/1000], loss:0.0036, rec:0.0027, sparse:0.0840, gate:0.0016, orth:0.0024
26-05-02 00:54:42.563 : epoch:[45/1000], loss:0.0036, rec:0.0028, sparse:0.0840, gate:0.0014, orth:0.0022
26-05-02 00:56:02.793 : epoch:[46/1000], loss:0.0035, rec:0.0027, sparse:0.0841, gate:0.0012, orth:0.0020
26-05-02 00:57:23.035 : epoch:[47/1000], loss:0.0035, rec:0.0027, sparse:0.0838, gate:0.0011, orth:0.0019
26-05-02 00:58:43.332 : epoch:[48/1000], loss:0.0035, rec:0.0026, sparse:0.0836, gate:0.0010, orth:0.0018
26-05-02 01:00:03.958 : epoch:[49/1000], loss:0.0034, rec:0.0026, sparse:0.0837, gate:0.0009, orth:0.0016
26-05-02 01:01:24.133 : epoch:[50/1000], loss:0.0034, rec:0.0025, sparse:0.0837, gate:0.0008, orth:0.0015
26-05-02 01:06:49.464 : [epoch 50] val_loss: 0.0033, PSNR: 47.6509, SSIM: 0.9971, Best PSNR: 47.6509 @ epoch 50
26-05-02 01:08:09.774 : epoch:[51/1000], loss:0.0033, rec:0.0025, sparse:0.0834, gate:0.0007, orth:0.0014
26-05-02 01:09:30.108 : epoch:[52/1000], loss:0.0033, rec:0.0025, sparse:0.0835, gate:0.0007, orth:0.0012
26-05-02 01:10:50.362 : epoch:[53/1000], loss:0.0033, rec:0.0024, sparse:0.0833, gate:0.0006, orth:0.0011
26-05-02 01:12:10.633 : epoch:[54/1000], loss:0.0033, rec:0.0025, sparse:0.0830, gate:0.0005, orth:0.0010
26-05-02 01:13:30.841 : epoch:[55/1000], loss:0.0033, rec:0.0024, sparse:0.0831, gate:0.0005, orth:0.0009
26-05-02 01:14:50.988 : epoch:[56/1000], loss:0.0033, rec:0.0025, sparse:0.0831, gate:0.0004, orth:0.0008
26-05-02 01:16:11.227 : epoch:[57/1000], loss:0.0032, rec:0.0024, sparse:0.0829, gate:0.0004, orth:0.0007
