26-04-03 17:58:31.485 :   task: train
  gpu_ids: [0]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best1.pth
  ]
  batch_size: 4
  nc: [16, 1]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  train:[
    sigma: [15, 50]
    dataroot_H: ./dataset/gray_train_all
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [15, 25, 50]
    dataroot_H: ./dataset/gray_test
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-04-03 17:58:31.495 : 训练集大小: 1120
26-04-03 17:58:31.495 : 验证集数量: 720 (每个 sigma 一个 Dataset)
26-04-03 17:58:32.540 : Number of parameter: 3.25M
26-04-03 17:58:32.540 : start training...
26-04-03 18:01:19.785 : epoch:[1/1000], 平均loss: 0.0565
26-04-03 18:04:06.353 : epoch:[2/1000], 平均loss: 0.0348
26-04-03 18:06:52.687 : epoch:[3/1000], 平均loss: 0.0324
26-04-03 18:09:41.876 : epoch:[4/1000], 平均loss: 0.0315
26-04-03 18:12:29.053 : epoch:[5/1000], 平均loss: 0.0299
26-04-03 18:15:16.365 : epoch:[6/1000], 平均loss: 0.0291
26-04-03 18:18:05.092 : epoch:[7/1000], 平均loss: 0.0290
26-04-03 18:20:54.656 : epoch:[8/1000], 平均loss: 0.0282
26-04-03 18:23:35.348 : epoch:[9/1000], 平均loss: 0.0280
26-04-03 18:26:12.871 : epoch:[10/1000], 平均loss: 0.0277
26-04-03 18:29:25.365 : [epoch 10 PSNR: 29.9994 Best: 29.9994]
26-04-03 18:32:13.182 : epoch:[11/1000], 平均loss: 0.0274
26-04-03 18:34:54.232 : epoch:[12/1000], 平均loss: 0.0274
26-04-03 18:37:32.308 : epoch:[13/1000], 平均loss: 0.0270
26-04-03 18:40:10.215 : epoch:[14/1000], 平均loss: 0.0268
26-04-03 18:42:49.974 : epoch:[15/1000], 平均loss: 0.0267
26-04-03 18:45:29.950 : epoch:[16/1000], 平均loss: 0.0266
26-04-03 18:48:09.677 : epoch:[17/1000], 平均loss: 0.0265
26-04-03 18:50:48.553 : epoch:[18/1000], 平均loss: 0.0265
26-04-03 18:53:28.193 : epoch:[19/1000], 平均loss: 0.0261
26-04-03 18:56:07.738 : epoch:[20/1000], 平均loss: 0.0259
26-04-03 18:59:20.323 : [epoch 20 PSNR: 30.6436 Best: 30.6436]
26-04-03 19:01:58.470 : epoch:[21/1000], 平均loss: 0.0257
26-04-03 19:04:36.281 : epoch:[22/1000], 平均loss: 0.0258
26-04-03 19:07:15.573 : epoch:[23/1000], 平均loss: 0.0257
26-04-03 19:09:55.199 : epoch:[24/1000], 平均loss: 0.0257
26-04-03 19:12:34.825 : epoch:[25/1000], 平均loss: 0.0255
26-04-03 19:15:12.751 : epoch:[26/1000], 平均loss: 0.0256
26-04-03 19:17:50.494 : epoch:[27/1000], 平均loss: 0.0252
26-04-03 19:20:30.102 : epoch:[28/1000], 平均loss: 0.0255
26-04-03 19:23:08.312 : epoch:[29/1000], 平均loss: 0.0256
26-04-03 19:25:46.223 : epoch:[30/1000], 平均loss: 0.0250
26-04-03 19:28:58.021 : [epoch 30 PSNR: 30.9160 Best: 30.9160]
26-04-03 19:31:42.467 : epoch:[31/1000], 平均loss: 0.0252
26-04-03 19:34:31.583 : epoch:[32/1000], 平均loss: 0.0250
26-04-03 19:37:19.459 : epoch:[33/1000], 平均loss: 0.0252
26-04-03 19:40:06.591 : epoch:[34/1000], 平均loss: 0.0249
26-04-03 19:42:51.325 : epoch:[35/1000], 平均loss: 0.0250
26-04-03 19:45:29.116 : epoch:[36/1000], 平均loss: 0.0247
26-04-03 19:48:08.709 : epoch:[37/1000], 平均loss: 0.0248
26-04-03 19:50:48.085 : epoch:[38/1000], 平均loss: 0.0251
26-04-03 19:53:27.527 : epoch:[39/1000], 平均loss: 0.0248
26-04-03 19:56:07.053 : epoch:[40/1000], 平均loss: 0.0247
26-04-03 19:59:18.907 : [epoch 40 PSNR: 31.0461 Best: 31.0461]
26-04-03 20:01:58.636 : epoch:[41/1000], 平均loss: 0.0245
26-04-03 20:04:38.312 : epoch:[42/1000], 平均loss: 0.0247
26-04-03 20:07:16.357 : epoch:[43/1000], 平均loss: 0.0246
26-04-03 20:09:54.382 : epoch:[44/1000], 平均loss: 0.0246
26-04-03 20:12:32.242 : epoch:[45/1000], 平均loss: 0.0245
26-04-03 20:15:11.533 : epoch:[46/1000], 平均loss: 0.0245
26-04-03 20:17:51.926 : epoch:[47/1000], 平均loss: 0.0245
26-04-03 20:20:33.283 : epoch:[48/1000], 平均loss: 0.0245
26-04-03 20:23:19.678 : epoch:[49/1000], 平均loss: 0.0243
26-04-03 20:26:02.515 : epoch:[50/1000], 平均loss: 0.0244
26-04-03 20:29:18.088 : [epoch 50 PSNR: 31.1368 Best: 31.1368]
26-04-03 20:32:01.221 : epoch:[51/1000], 平均loss: 0.0243
26-04-03 20:34:45.487 : epoch:[52/1000], 平均loss: 0.0244
26-04-03 20:37:29.236 : epoch:[53/1000], 平均loss: 0.0243
26-04-03 20:40:13.025 : epoch:[54/1000], 平均loss: 0.0244
26-04-03 20:42:57.094 : epoch:[55/1000], 平均loss: 0.0245
26-04-03 20:45:38.663 : epoch:[56/1000], 平均loss: 0.0242
26-04-03 20:48:22.536 : epoch:[57/1000], 平均loss: 0.0241
26-04-03 20:51:07.409 : epoch:[58/1000], 平均loss: 0.0243
26-04-03 20:53:48.857 : epoch:[59/1000], 平均loss: 0.0242
26-04-03 20:56:30.083 : epoch:[60/1000], 平均loss: 0.0242
26-04-03 20:59:44.073 : [epoch 60 PSNR: 31.1920 Best: 31.1920]
26-04-03 21:02:27.779 : epoch:[61/1000], 平均loss: 0.0243
26-04-03 21:05:11.130 : epoch:[62/1000], 平均loss: 0.0242
26-04-03 21:07:53.554 : epoch:[63/1000], 平均loss: 0.0241
26-04-03 21:10:36.938 : epoch:[64/1000], 平均loss: 0.0242
26-04-03 21:13:20.497 : epoch:[65/1000], 平均loss: 0.0240
26-04-03 21:16:03.950 : epoch:[66/1000], 平均loss: 0.0241
26-04-03 21:18:45.257 : epoch:[67/1000], 平均loss: 0.0243
26-04-03 21:21:28.837 : epoch:[68/1000], 平均loss: 0.0242
26-04-03 21:24:12.419 : epoch:[69/1000], 平均loss: 0.0242
26-04-03 21:26:53.615 : epoch:[70/1000], 平均loss: 0.0242
26-04-03 21:30:07.400 : [epoch 70 PSNR: 31.2241 Best: 31.2241]
26-04-03 21:32:51.325 : epoch:[71/1000], 平均loss: 0.0242
26-04-03 21:35:35.758 : epoch:[72/1000], 平均loss: 0.0242
26-04-03 21:38:17.550 : epoch:[73/1000], 平均loss: 0.0240
26-04-03 21:40:59.089 : epoch:[74/1000], 平均loss: 0.0241
26-04-03 21:43:42.632 : epoch:[75/1000], 平均loss: 0.0241
26-04-03 21:46:26.605 : epoch:[76/1000], 平均loss: 0.0241
26-04-03 21:49:08.130 : epoch:[77/1000], 平均loss: 0.0242
26-04-03 21:51:51.229 : epoch:[78/1000], 平均loss: 0.0241
26-04-03 21:54:33.030 : epoch:[79/1000], 平均loss: 0.0242
26-04-03 21:57:14.515 : epoch:[80/1000], 平均loss: 0.0241
26-04-03 22:00:28.099 : [epoch 80 PSNR: 31.2529 Best: 31.2529]
26-04-03 22:03:10.280 : epoch:[81/1000], 平均loss: 0.0242
26-04-03 22:05:53.670 : epoch:[82/1000], 平均loss: 0.0241
26-04-03 22:08:36.905 : epoch:[83/1000], 平均loss: 0.0241
26-04-03 22:11:20.436 : epoch:[84/1000], 平均loss: 0.0239
26-04-03 22:14:02.042 : epoch:[85/1000], 平均loss: 0.0240
26-04-03 22:16:43.100 : epoch:[86/1000], 平均loss: 0.0242
26-04-03 22:19:26.258 : epoch:[87/1000], 平均loss: 0.0240
26-04-03 22:22:09.750 : epoch:[88/1000], 平均loss: 0.0240
26-04-03 22:24:53.623 : epoch:[89/1000], 平均loss: 0.0238
26-04-03 22:27:35.846 : epoch:[90/1000], 平均loss: 0.0238
26-04-03 22:30:49.971 : [epoch 90 PSNR: 31.2900 Best: 31.2900]
26-04-03 22:33:31.548 : epoch:[91/1000], 平均loss: 0.0239
26-04-03 22:36:16.958 : epoch:[92/1000], 平均loss: 0.0240
26-04-03 22:39:01.892 : epoch:[93/1000], 平均loss: 0.0238
26-04-03 22:41:46.641 : epoch:[94/1000], 平均loss: 0.0236
26-04-03 22:44:29.848 : epoch:[95/1000], 平均loss: 0.0240
26-04-03 22:47:12.457 : epoch:[96/1000], 平均loss: 0.0238
26-04-03 22:49:54.084 : epoch:[97/1000], 平均loss: 0.0240
26-04-03 22:52:35.857 : epoch:[98/1000], 平均loss: 0.0238
26-04-03 22:55:17.633 : epoch:[99/1000], 平均loss: 0.0237
26-04-03 22:57:59.537 : epoch:[100/1000], 平均loss: 0.0239
26-04-03 23:01:14.330 : [epoch 100 PSNR: 31.2989 Best: 31.2989]
26-04-03 23:03:57.961 : epoch:[101/1000], 平均loss: 0.0239
26-04-03 23:06:39.505 : epoch:[102/1000], 平均loss: 0.0238
26-04-03 23:09:22.995 : epoch:[103/1000], 平均loss: 0.0240
26-04-03 23:12:05.510 : epoch:[104/1000], 平均loss: 0.0238
26-04-03 23:14:47.619 : epoch:[105/1000], 平均loss: 0.0239
26-04-03 23:17:31.872 : epoch:[106/1000], 平均loss: 0.0238
26-04-03 23:20:15.545 : epoch:[107/1000], 平均loss: 0.0238
26-04-03 23:22:57.141 : epoch:[108/1000], 平均loss: 0.0239
26-04-03 23:25:38.744 : epoch:[109/1000], 平均loss: 0.0239
26-04-03 23:28:19.973 : epoch:[110/1000], 平均loss: 0.0238
26-04-03 23:31:33.691 : [epoch 110 PSNR: 31.2961 Best: 31.2989]
26-04-03 23:34:18.122 : epoch:[111/1000], 平均loss: 0.0237
26-04-03 23:37:01.643 : epoch:[112/1000], 平均loss: 0.0237
26-04-03 23:39:45.070 : epoch:[113/1000], 平均loss: 0.0237
26-04-03 23:42:28.286 : epoch:[114/1000], 平均loss: 0.0237
26-04-03 23:45:09.185 : epoch:[115/1000], 平均loss: 0.0236
26-04-03 23:47:50.673 : epoch:[116/1000], 平均loss: 0.0237
26-04-03 23:50:31.684 : epoch:[117/1000], 平均loss: 0.0238
26-04-03 23:53:12.847 : epoch:[118/1000], 平均loss: 0.0238
26-04-03 23:55:53.802 : epoch:[119/1000], 平均loss: 0.0237
26-04-03 23:58:34.811 : epoch:[120/1000], 平均loss: 0.0235
26-04-04 00:01:49.369 : [epoch 120 PSNR: 31.3287 Best: 31.3287]
26-04-04 00:04:30.765 : epoch:[121/1000], 平均loss: 0.0238
26-04-04 00:07:13.650 : epoch:[122/1000], 平均loss: 0.0236
26-04-04 00:09:57.296 : epoch:[123/1000], 平均loss: 0.0235
26-04-04 00:12:41.284 : epoch:[124/1000], 平均loss: 0.0238
26-04-04 00:15:22.624 : epoch:[125/1000], 平均loss: 0.0238
26-04-04 00:18:03.914 : epoch:[126/1000], 平均loss: 0.0237
26-04-04 00:20:45.186 : epoch:[127/1000], 平均loss: 0.0239
26-04-04 00:23:27.455 : epoch:[128/1000], 平均loss: 0.0238
26-04-04 00:26:09.072 : epoch:[129/1000], 平均loss: 0.0238
26-04-04 00:28:52.777 : epoch:[130/1000], 平均loss: 0.0239
26-04-04 00:32:07.696 : [epoch 130 PSNR: 31.3487 Best: 31.3487]
26-04-04 00:34:51.095 : epoch:[131/1000], 平均loss: 0.0237
26-04-04 00:37:32.453 : epoch:[132/1000], 平均loss: 0.0238
26-04-04 00:40:15.984 : epoch:[133/1000], 平均loss: 0.0238
26-04-04 00:42:57.328 : epoch:[134/1000], 平均loss: 0.0237
26-04-04 00:45:38.849 : epoch:[135/1000], 平均loss: 0.0238
26-04-04 00:48:21.823 : epoch:[136/1000], 平均loss: 0.0239
26-04-04 00:51:02.458 : epoch:[137/1000], 平均loss: 0.0236
26-04-04 00:53:43.960 : epoch:[138/1000], 平均loss: 0.0238
26-04-04 00:56:25.031 : epoch:[139/1000], 平均loss: 0.0237
26-04-04 00:59:08.856 : epoch:[140/1000], 平均loss: 0.0238
26-04-04 01:02:23.497 : [epoch 140 PSNR: 31.3574 Best: 31.3574]
26-04-04 01:05:04.502 : epoch:[141/1000], 平均loss: 0.0236
26-04-04 01:07:46.228 : epoch:[142/1000], 平均loss: 0.0238
26-04-04 01:10:28.015 : epoch:[143/1000], 平均loss: 0.0235
26-04-04 01:13:11.448 : epoch:[144/1000], 平均loss: 0.0238
26-04-04 01:15:55.146 : epoch:[145/1000], 平均loss: 0.0238
26-04-04 01:18:38.168 : epoch:[146/1000], 平均loss: 0.0238
26-04-04 01:21:19.523 : epoch:[147/1000], 平均loss: 0.0237
26-04-04 01:24:01.155 : epoch:[148/1000], 平均loss: 0.0236
26-04-04 01:26:45.185 : epoch:[149/1000], 平均loss: 0.0238
26-04-04 01:29:26.303 : epoch:[150/1000], 平均loss: 0.0236
26-04-04 01:32:41.326 : [epoch 150 PSNR: 31.3228 Best: 31.3574]
26-04-04 01:35:22.726 : epoch:[151/1000], 平均loss: 0.0236
26-04-04 01:38:06.430 : epoch:[152/1000], 平均loss: 0.0235
26-04-04 01:40:48.012 : epoch:[153/1000], 平均loss: 0.0237
26-04-04 01:43:31.118 : epoch:[154/1000], 平均loss: 0.0236
26-04-04 01:46:14.802 : epoch:[155/1000], 平均loss: 0.0237
26-04-04 01:48:58.697 : epoch:[156/1000], 平均loss: 0.0236
26-04-04 01:51:42.522 : epoch:[157/1000], 平均loss: 0.0239
26-04-04 01:54:24.054 : epoch:[158/1000], 平均loss: 0.0236
26-04-04 01:57:05.381 : epoch:[159/1000], 平均loss: 0.0235
26-04-04 01:59:46.650 : epoch:[160/1000], 平均loss: 0.0236
26-04-04 02:03:01.378 : [epoch 160 PSNR: 31.3693 Best: 31.3693]
26-04-04 02:05:44.821 : epoch:[161/1000], 平均loss: 0.0237
26-04-04 02:08:28.519 : epoch:[162/1000], 平均loss: 0.0237
26-04-04 02:11:10.412 : epoch:[163/1000], 平均loss: 0.0234
26-04-04 02:13:51.839 : epoch:[164/1000], 平均loss: 0.0236
26-04-04 02:16:33.099 : epoch:[165/1000], 平均loss: 0.0237
26-04-04 02:19:14.801 : epoch:[166/1000], 平均loss: 0.0238
26-04-04 02:21:58.324 : epoch:[167/1000], 平均loss: 0.0237
26-04-04 02:24:42.037 : epoch:[168/1000], 平均loss: 0.0240
26-04-04 02:27:23.092 : epoch:[169/1000], 平均loss: 0.0234
26-04-04 02:30:06.921 : epoch:[170/1000], 平均loss: 0.0236
26-04-04 02:33:20.050 : [epoch 170 PSNR: 31.3702 Best: 31.3702]
26-04-04 02:36:03.475 : epoch:[171/1000], 平均loss: 0.0235
26-04-04 02:38:46.189 : epoch:[172/1000], 平均loss: 0.0235
26-04-04 02:41:27.333 : epoch:[173/1000], 平均loss: 0.0238
26-04-04 02:44:11.044 : epoch:[174/1000], 平均loss: 0.0238
26-04-04 02:46:54.237 : epoch:[175/1000], 平均loss: 0.0235
26-04-04 02:49:37.918 : epoch:[176/1000], 平均loss: 0.0236
26-04-04 02:52:21.131 : epoch:[177/1000], 平均loss: 0.0236
26-04-04 02:55:04.017 : epoch:[178/1000], 平均loss: 0.0237
