26-04-05 17:39:29.858 :   task: train
  gpu_ids: [0]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best1.pth
  ]
  batch_size: 4
  nc: [16, 1]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  train:[
    sigma: [15, 50]
    dataroot_H: ./dataset/gray_train_all
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [15, 25, 50]
    dataroot_H: ./dataset/gray_test
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-04-05 21:01:42.329 : epoch:[68/1000], 平均loss: 0.0241
26-04-05 21:04:22.364 : epoch:[69/1000], 平均loss: 0.0241
26-04-05 21:07:04.332 : epoch:[70/1000], 平均loss: 0.0241
26-04-05 21:10:18.244 : [epoch 70 PSNR: 31.1846 Best: 31.1846]
26-04-05 21:13:00.727 : epoch:[71/1000], 平均loss: 0.0238
26-04-05 21:15:40.606 : epoch:[72/1000], 平均loss: 0.0241
26-04-05 21:18:20.607 : epoch:[73/1000], 平均loss: 0.0240
26-04-05 21:21:03.014 : epoch:[74/1000], 平均loss: 0.0241
26-04-05 21:23:43.179 : epoch:[75/1000], 平均loss: 0.0241
26-04-05 21:26:23.627 : epoch:[76/1000], 平均loss: 0.0239
26-04-05 21:29:05.081 : epoch:[77/1000], 平均loss: 0.0242
26-04-05 21:31:45.282 : epoch:[78/1000], 平均loss: 0.0241
26-04-05 21:34:30.333 : epoch:[79/1000], 平均loss: 0.0241
26-04-05 21:37:11.260 : epoch:[80/1000], 平均loss: 0.0239
26-04-05 21:40:25.534 : [epoch 80 PSNR: 31.2457 Best: 31.2457]
26-04-05 21:43:07.593 : epoch:[81/1000], 平均loss: 0.0241
26-04-05 21:45:51.078 : epoch:[82/1000], 平均loss: 0.0240
26-04-05 21:48:32.033 : epoch:[83/1000], 平均loss: 0.0239
26-04-05 21:51:12.971 : epoch:[84/1000], 平均loss: 0.0238
26-04-05 21:53:53.287 : epoch:[85/1000], 平均loss: 0.0240
26-04-05 21:56:36.017 : epoch:[86/1000], 平均loss: 0.0241
26-04-05 21:59:16.619 : epoch:[87/1000], 平均loss: 0.0240
26-04-05 22:01:57.668 : epoch:[88/1000], 平均loss: 0.0239
26-04-05 22:04:39.284 : epoch:[89/1000], 平均loss: 0.0242
26-04-05 22:07:20.284 : epoch:[90/1000], 平均loss: 0.0240
26-04-05 22:10:34.069 : [epoch 90 PSNR: 31.2359 Best: 31.2457]
