26-05-06 12:45:35.269 :   task: train
  gpu_ids: [0]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best1.pth
  ]
  batch_size: 4
  nc: [16, 1]
  patch_size: [128, 128]
  stride_size: [16, 16]
  d_size: 3
  max_epoch: 1000
  stage: 2
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  m_channels: 8
  n_atoms: 16
  lambda_sparse: 0.001
  lambda_gate: 0.05
  lambda_orth: 0.01
  eval_num: 10
  sigma: 0.0
  train:[
    sigma: [0]
    dataroot_H: ./dataset/gray_train_all
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [0]
    dataroot_H: ./dataset/gray_valid_all
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-05-06 12:45:35.277 : 训练集大小: 1120
26-05-06 12:45:35.277 : 验证集数量: 240
26-05-06 12:45:36.418 : Number of parameter: 0.88M
26-05-06 12:45:36.418 : start training...
26-05-06 12:48:05.965 : epoch:[1/1000], loss:0.3679, rec:0.5065, sparse:0.0000, gate:-2.7718, orth:0.0007
26-05-06 12:50:33.720 : epoch:[2/1000], loss:0.3681, rec:0.5067, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 12:53:03.688 : epoch:[3/1000], loss:0.3681, rec:0.5067, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 12:55:30.946 : epoch:[4/1000], loss:0.3667, rec:0.5053, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 12:58:00.468 : epoch:[5/1000], loss:0.3658, rec:0.5045, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 13:00:30.879 : epoch:[6/1000], loss:0.3667, rec:0.5054, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 13:02:58.084 : epoch:[7/1000], loss:0.3661, rec:0.5047, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 13:05:27.370 : epoch:[8/1000], loss:0.3668, rec:0.5054, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 13:07:54.022 : epoch:[9/1000], loss:0.3676, rec:0.5062, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 13:10:20.859 : epoch:[10/1000], loss:0.3659, rec:0.5045, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 13:19:17.236 : [epoch 10] val_loss: 0.4635, PSNR: 7.7784, SSIM: 0.0011, Best PSNR: 7.7784 @ epoch 10
26-05-06 13:21:47.298 : epoch:[11/1000], loss:0.3663, rec:0.5049, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 13:24:16.684 : epoch:[12/1000], loss:0.3667, rec:0.5054, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 13:26:47.222 : epoch:[13/1000], loss:0.3681, rec:0.5068, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 13:29:14.846 : epoch:[14/1000], loss:0.3676, rec:0.5062, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 13:31:42.516 : epoch:[15/1000], loss:0.3672, rec:0.5058, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 13:34:10.081 : epoch:[16/1000], loss:0.3666, rec:0.5053, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 13:36:37.715 : epoch:[17/1000], loss:0.3671, rec:0.5057, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 13:39:07.512 : epoch:[18/1000], loss:0.3672, rec:0.5058, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 13:41:40.613 : epoch:[19/1000], loss:0.3674, rec:0.5060, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 13:44:11.350 : epoch:[20/1000], loss:0.3673, rec:0.5059, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 13:53:07.217 : [epoch 20] val_loss: 0.4635, PSNR: 7.7784, SSIM: 0.0011, Best PSNR: 7.7784 @ epoch 10
26-05-06 13:55:37.667 : epoch:[21/1000], loss:0.3680, rec:0.5066, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 13:58:05.320 : epoch:[22/1000], loss:0.3678, rec:0.5065, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 14:00:32.844 : epoch:[23/1000], loss:0.3668, rec:0.5054, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 14:03:00.273 : epoch:[24/1000], loss:0.3675, rec:0.5061, sparse:0.0000, gate:-2.7726, orth:0.0000
26-05-06 14:05:27.804 : epoch:[25/1000], loss:0.3686, rec:0.5072, sparse:0.0000, gate:-2.7726, orth:0.0000
